id,master_id,main_category_id,sort_order,slug,model,quantity,price,is_active,is_salable,created_at,updated_at,
1001,,1001,10,1001,BN01,,100,1,1,2022/12/31 00:00,2022/12/31 00:00,招牌潤餅便當
1002,,1001,20,1002,BN02,,125,1,1,2022/12/31 00:00,2022/12/31 00:00,清蒸嫰雞胸便當
1003,,1001,30,1003,BN03,,150,1,1,2022/12/31 00:00,2022/12/31 00:00,傳香滷雞腿便當
1004,,1001,40,1004,BN04,,150,1,1,2022/12/31 00:00,2022/12/31 00:00,家常厚滷牛便當
1005,,1002,50,1005,LB01,,80,1,1,2022/12/31 00:00,2022/12/31 00:00,經濟盒餐
1006,,1002,60,1006,LB02,,100,1,1,2022/12/31 00:00,2022/12/31 00:00,會議盒餐
1007,,1002,70,1007,LB03,,125,1,1,2022/12/31 00:00,2022/12/31 00:00,貴賓盒餐
1008,,1002,80,1008,LB04,,150,1,1,2022/12/31 00:00,2022/12/31 00:00,首席盒餐
1009,,1004,90,1009,SG01,,65,1,1,2022/12/31 00:00,2022/12/31 00:00,單點潤餅
1010,,1004,92,1010,SGD01,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋薯泥潤餅
1011,,1004,93,1011,SGD02,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋炸蝦潤餅
1012,,1004,94,1012,SGD03,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋炒雞潤餅
1013,,1004,95,1013,SGD04,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋酥魚潤餅
1014,,1004,96,1014,SGD05,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋培根潤餅
1015,,1004,97,1015,SGD06,,65,0,0,2022/12/31 00:00,2022/12/31 00:00,6吋滷肉潤餅
1016,,1003,99999,1016,DA01,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,微豆
1017,,1003,99999,1017,DA02,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,無豆
1018,,1003,99999,1018,DA03,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,紅茶
1019,,1003,99999,1019,DA04,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,奶茶
1020,,1003,99999,1020,DA05,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,濃湯
1021,,1003,99999,1021,DA06,,30,1,0,2022/12/31 00:00,2022/12/31 00:00,甜湯
1022,,1004,99999,1022,MB01,,,1,0,2022/12/31 00:00,2022/12/31 00:00,清蒸嫩雞胸
1023,,1004,99999,1023,MB02,,,1,0,2022/12/31 00:00,2022/12/31 00:00,滷雞腿
1024,,1004,99999,1024,MB03,,,1,0,2022/12/31 00:00,2022/12/31 00:00,滷牛腱
1025,,1005,99999,1025,OP01,,,1,0,2022/12/31 00:00,2022/12/31 00:00,地瓜薯薯
1026,,1005,99999,1026,OP02,,,1,0,2022/12/31 00:00,2022/12/31 00:00,手作蛋塔
1027,,1005,99999,1027,OP03,,,1,0,2022/12/31 00:00,2022/12/31 00:00,香蔥酥餅
1028,,1005,99999,1028,OP04,,,1,0,2022/12/31 00:00,2022/12/31 00:00,香滷雞翅
1029,,1005,99999,1029,OP05,,,1,0,2022/12/31 00:00,2022/12/31 00:00,湯圓
1030,,1005,99999,1030,OP06,,,1,0,2022/12/31 00:00,2022/12/31 00:00,水果
1031,,1005,99999,1031,OP07,,,1,0,2022/12/31 00:00,2022/12/31 00:00,梅汁番茄
1032,,1005,99999,1032,OP08,,,1,0,2022/12/31 00:00,2022/12/31 00:00,鹽水煮蛋
1033,,1005,99999,1033,OP09,,,1,0,2022/12/31 00:00,2022/12/31 00:00,蒜香時蔬
1034,,1005,99999,1034,OP10,,,1,0,2022/12/31 00:00,2022/12/31 00:00,酸炸菇菇
1035,,1005,99999,1035,OP11,,,1,0,2022/12/31 00:00,2022/12/31 00:00,香滷豆干
1036,,1005,99999,1036,OP12,,,1,0,2022/12/31 00:00,2022/12/31 00:00,香菇油飯
1037,1010,,99999,1037,MA01,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋薯泥潤餅
1038,1011,,99999,1038,MA02,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋炸蝦潤餅
1039,1012,,99999,1039,MA03,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋炒雞潤餅
1040,1013,,99999,1040,MA04,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋酥魚潤餅
1041,1014,,99999,1041,MA05,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋培根潤餅
1042,1015,,99999,1042,MA06,,,1,0,2022/12/31 00:00,2022/12/31 00:00,3吋滷肉潤餅
1043,,1001,510,1043,BNC01,,,1,1,2022/12/31 00:00,2022/12/31 00:00,客製便當
1044,,1002,520,1044,LBC01,,,1,1,2022/12/31 00:00,2022/12/31 00:00,客製盒餐
1045,,,530,1045,CT01,,,0,1,2022/12/31 00:00,2022/12/31 00:00,客製商品
1046,,1002,230,1046,LBVA01,,80,0,0,2022/12/31 00:00,2022/12/31 00:00,蛋素經濟盒餐
1047,,1002,240,1047,LBVA02,,100,0,0,2022/12/31 00:00,2022/12/31 00:00,蛋素會議盒餐
1048,,1002,250,1048,LBVA03,,125,0,0,2022/12/31 00:00,2022/12/31 00:00,蛋素貴賓盒餐
1049,,1002,260,1049,LBVA04,,150,0,0,2023/3/8 00:00,2023/3/8 00:00,蛋素首席盒餐
1050,,1001,210,1050,BNVA01,,100,0,0,2023/3/8 00:00,2023/3/8 00:00,蛋素招牌潤餅便當
1051,,1002,270,1051,LBVB01,,80,0,0,2023/3/8 00:00,2023/3/8 00:00,全素經濟盒餐
1052,,1002,280,1052,LBVB02,,100,0,0,2023/3/8 00:00,2023/3/8 00:00,全素會議盒餐
1053,,1002,290,1053,LBVB03,,125,0,0,2023/3/8 00:00,2023/3/8 00:00,全素貴賓盒餐
1054,,1002,300,1054,LBVB04,,150,0,0,2023/3/8 00:00,2023/3/8 00:00,全素首席盒餐
1055,,1001,220,1055,BNVB01,,100,0,0,2023/3/8 00:00,2023/3/8 00:00,全素招牌潤餅便當
1056,,1004,92,1056,SGD07,,65,1,0,2023/3/8 00:00,2023/3/8 00:00,全素薯泥潤餅6吋
1057,1056,,99999,1056,MA07,,0,1,0,2023/3/8 00:00,2023/3/8 00:00,全素薯泥潤餅3吋
1058,1010,1004,91,,SGD08,,65,1,0,2023/3/8 00:00,2023/3/8 00:00,蛋素薯泥潤餅6吋
1059,1037,,99999,,MA08,,0,1,0,2023/3/8 00:00,2023/3/8 00:00,蛋素薯泥潤餅3吋
1060,,,,,EBAG01,,1,1,0,2023/3/8 00:00,2023/3/8 00:00,
1061,,,,,EBAG02,,3,1,0,2023/3/8 00:00,2023/3/8 00:00,
1062,,,601,,CMB01,,,1,1,2023/3/8 00:00,2023/3/8 00:00,
